run_id,file_name,family,model,prompt,is_partial,n_news,n_rows,complete_36x_rows,json_errors,threshold,threshold_value,scope,gold_pairs,pred_pairs,tp_pairs,fp_pairs_vs_scope,fn_pairs,mean_pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,gold_news,pred_any_news,news_with_true_hit,true_hit_news_coverage,false_relevant_news,missed_all_scope_news
manual_dataset_prompt_search_best_balanced_recall_v2,manual_dataset_prompt_search_best_balanced_recall_v2.csv,prompt_search,gemma4:e2b,balanced_recall_v2,False,739,26604,True,,0.15,0.15,all,2010,588,438,150,1572,0.7956698240866035,0.7448979591836735,0.21791044776119403,0.3371824480369515,0.16080131130320535,0.34161672788195113,0.9805996472663139,0.7875354107648725,0.8735271013354281,706,567,427,0.6048158640226629,11,150
prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc,prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,prompt_search,gemma4:e2b,balanced_recall_v2,False,739,26604,True,0.0,0.15,0.15,all,2010,588,438,150,1572,0.7956698240866035,0.7448979591836735,0.21791044776119403,0.3371824480369515,0.16080131130320535,0.34161672788195113,0.9805996472663139,0.7875354107648725,0.8735271013354281,706,567,427,0.6048158640226629,11,150
manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b,manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b.csv,manual_llm,gemma4:e2b,unknown,False,739,26604,True,1.0,0.05,0.05,all,2010,391,226,165,1784,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,706,373,216,0.3059490084985836,9,342
prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85,prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,prompt_search,gemma4:e2b,production_v1,False,739,26604,True,,0.05,0.05,all,2010,391,226,165,1784,0.5290933694181326,0.578005115089514,0.11243781094527364,0.1882548937942524,0.10882192898363907,0.18720278368451573,0.9758713136729222,0.5155807365439093,0.6746987951807228,706,373,216,0.3059490084985836,9,342
manual_dataset_bert_predictions_full_text_5df03950348d,manual_dataset_bert_predictions_full_text_5df03950348d.csv,other,rubert-nli-zero-shot,unknown,False,739,26604,True,,0.45,0.45,all,2010,8763,959,7804,1051,11.857916102841678,0.10943740728061166,0.4771144278606965,0.17803768680961662,0.16033793566297777,0.1636699967949461,0.9553450608930988,1.0,0.9771626297577855,706,739,537,0.7606232294617564,33,0
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,v4_prompt,False,237,8532,True,1.0,default,0.05,all,681,467,339,128,342,1.970464135021097,0.7259100642398287,0.4977973568281938,0.5905923344947736,0.3651404277581621,0.5697910387783804,1.0,0.9620253164556962,0.9806451612903225,237,228,200,0.8438818565400844,0,9
v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237.csv,v4_social_signal,gemma4:26b,v4_prompt,False,237,8532,True,0.0,0.65,0.65,all,681,388,315,73,366,1.6371308016877637,0.8118556701030928,0.46255506607929514,0.5893358278765201,0.30508711594862975,0.5760957982476971,1.0,0.9240506329113924,0.9605263157894737,237,219,202,0.8523206751054853,0,18
v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237.csv,v3_social_signal,qwen3.5:9b,social_signal_v5,False,237,8532,True,0.0,0.35,0.35,all,656,448,325,123,331,1.890295358649789,0.7254464285714286,0.4954268292682927,0.5887681159420289,0.34953049246849544,0.544333936106088,0.9855769230769231,0.9030837004405287,0.9425287356321839,227,208,181,0.7973568281938326,3,22
v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237.csv,v4_social_signal,gemma4:26b,v4_prompt,False,237,8532,True,0.0,default,0.05,all,656,367,299,68,357,1.5485232067510548,0.8147138964577657,0.4557926829268293,0.5845552297165201,0.41271221409810893,0.5338603028476446,0.9897959183673469,0.8546255506607929,0.91725768321513,227,196,174,0.7665198237885462,2,33
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full.csv,v3_social_signal,batiai/qwen3.6-35b:iq3,social_signal_v5,False,237,8532,True,0.0,0.45,0.45,all,656,335,285,50,371,1.4135021097046414,0.8507462686567164,0.4344512195121951,0.5751765893037336,0.38811235007552225,0.541974293873028,0.9947643979057592,0.8370044052863436,0.9090909090909091,227,191,175,0.7709251101321586,1,37
