run_name,source_file,run_family,model_guess,file_hash,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,error_rows
v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq4_social_signal_v9_f1_balanced_nothink_json_ctx16384_tok8192_b4.partial,v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq4_social_signal_v9_f1_balanced_nothink_json_ctx16384_tok8192_b4.partial.csv,v4_social_signal,qwen3.6-35b:iq4,979e3824848e,0.90,4,1,1,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,0.35,30,22,33,1.1,0.6363636363636364,0.9545454545454546,0.7636363636363637,0.8234432234432234,0.8166666666666668,0.9047619047619048,1.0,0.95,2,0,0
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal,qwen35-9b,cbe12b087c57,0.35,41,37,32,0.7804878048780488,0.8125,0.7027027027027027,0.7536231884057971,0.5646591970121382,0.7479674796747967,0.8888888888888888,0.8275862068965517,0.8571428571428571,3,5,0
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30.csv,v3_social_signal,qwen3.6-35b:iq3,b8b627b7f630,0.35,30,22,35,1.1666666666666667,0.6,0.9545454545454546,0.7368421052631579,0.8106227106227106,0.8044444444444444,0.9047619047619048,1.0,0.95,2,0,0
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal,gemma4:26b,698b84695b21,0.35,41,37,34,0.8292682926829268,0.7647058823529411,0.7027027027027027,0.7323943661971831,0.6188644688644688,0.7073170731707317,0.8571428571428571,0.8275862068965517,0.8421052631578947,4,5,0
v4_social_signal_experiment_v4_prompt_think_true_v4pilot60_gemma4_26b_high_recall_minimal_v3_think_nojson_guard2_ctx32768_tok8192_b1,v4_social_signal_experiment_v4_prompt_think_true_v4pilot60_gemma4_26b_high_recall_minimal_v3_think_nojson_guard2_ctx32768_tok8192_b1.csv,v4_social_signal,gemma4:26b,a459ae22b30f,0.35,41,37,36,0.8780487804878049,0.7222222222222222,0.7027027027027027,0.7123287671232876,0.5825396825396826,0.6861788617886179,0.8333333333333334,0.8620689655172413,0.847457627118644,5,4,72
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal,gemma4:26b,f98b306b8d11,0.85,41,37,28,0.6829268292682927,0.8214285714285714,0.6216216216216216,0.7076923076923077,0.545530492898914,0.7276422764227642,0.92,0.7931034482758621,0.8518518518518519,2,6,0
v4_social_signal_experiment_v4_prompt_think_false_v4full965_gemma4_26b_high_recall_minimal_v2_nothink_json_ctx32768_tok16384_b2.partial,v4_social_signal_experiment_v4_prompt_think_false_v4full965_gemma4_26b_high_recall_minimal_v2_nothink_json_ctx32768_tok16384_b2.partial.csv,v4_social_signal,gemma4:26b,0a2e5abeca01,0.35,78,60,62,0.7948717948717948,0.6935483870967742,0.7166666666666667,0.7049180327868853,0.4673295985060691,0.75,0.8823529411764706,0.9,0.8910891089108911,6,5,0
v4_social_signal_experiment_v4_prompt_think_true_qwen35_9b_direct_core_targeted_v7_think_nojson_ctx32768_tok8192_b1_pilot6.partial,v4_social_signal_experiment_v4_prompt_think_true_qwen35_9b_direct_core_targeted_v7_think_nojson_ctx32768_tok8192_b1_pilot6.partial.csv,v4_social_signal,qwen35-9b,90b6ed4c6322,default,1,1,2,2.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0,0,0
v3_social_signal_experiment_social_signal_v3_think_false_gemma4_26b_ctx32k_tok8k_b1_search237.partial,v3_social_signal_experiment_social_signal_v3_think_false_gemma4_26b_ctx32k_tok8k_b1_search237.partial.csv,v3_social_signal,gemma4:26b,96235c5fae43,0.35,18,12,15,0.8333333333333334,0.6,0.75,0.6666666666666666,0.6969696969696969,0.787037037037037,0.9,0.9,0.9,1,1,0
