run_name,source_file,run_family,model_guess,file_hash,threshold,n_news,gold_positive_pairs,pred_positive_pairs,pred_mean_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_relevant_precision,any_relevant_recall,any_relevant_f1,false_relevant_news,missed_all_relevant_news,error_rows
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full.csv,v3_social_signal,qwen3.6-35b:iq3,732a7bef4d0f,0.35,237,252,336,1.4177215189873418,0.5773809523809523,0.7698412698412699,0.6598639455782312,0.6049564397926757,0.6812537673297168,0.8952879581151832,0.9395604395604396,0.9168900804289544,20,11,0
v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237.csv,v3_social_signal,gemma4:e4b,e2368502d563,0.75,237,252,271,1.1434599156118144,0.6125461254612546,0.6587301587301587,0.6347992351816444,0.5850410004885708,0.6437412095639944,0.9010989010989011,0.9010989010989011,0.9010989010989011,18,18,0
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_targeted_v7_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_targeted_v7_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,569d55ed3a92,0.90,237,225,173,0.729957805907173,0.7283236994219653,0.56,0.6331658291457286,0.31877714877714874,0.6544303797468355,0.8970588235294118,0.7261904761904762,0.8026315789473685,14,46,108
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_recall_v2_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_recall_v2_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,448bd6ea5983,0.85,237,225,225,0.9493670886075949,0.6311111111111111,0.6311111111111111,0.6311111111111111,0.30632008794253157,0.6448663853727145,0.8554913294797688,0.8809523809523809,0.8680351906158358,25,20,72
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,8c9f00662f12,0.90,237,225,183,0.7721518987341772,0.6721311475409836,0.5466666666666666,0.6029411764705882,0.25601440279869114,0.6160337552742616,0.8551724137931035,0.7380952380952381,0.792332268370607,21,44,36
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_filtered_v3_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_filtered_v3_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,0e3f9508f182,0.85,237,225,174,0.7341772151898734,0.6839080459770115,0.5288888888888889,0.5964912280701754,0.22118381251489136,0.6289732770745429,0.9076923076923077,0.7023809523809523,0.7919463087248322,12,50,0
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_calibrated_v4_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_calibrated_v4_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,5eadc3c406d5,0.80,237,225,233,0.9831223628691983,0.5793991416309013,0.6,0.5895196506550219,0.34365261941348896,0.6074542897327706,0.85,0.8095238095238095,0.8292682926829268,24,32,0
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_clean_fewshot_v6_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_clean_fewshot_v6_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,65114de8d59f,0.80,237,225,255,1.0759493670886076,0.5450980392156862,0.6177777777777778,0.5791666666666667,0.3506580946549355,0.5753867791842475,0.7944444444444444,0.8511904761904762,0.8218390804597702,37,25,72
v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237.csv,v3_social_signal,qwen35-9b,7391ed8e6275,0.65,237,252,223,0.9409282700421941,0.6143497757847534,0.5436507936507936,0.5768421052631579,0.4262636301978916,0.5932489451476793,0.8953488372093024,0.8461538461538461,0.8700564971751412,18,28,0
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_balanced_v8_think_ctx16384_tok16384_n237,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_balanced_v8_think_ctx16384_tok16384_n237.csv,v4_social_signal,gemma4:e4b,6c322561de04,0.80,237,225,303,1.2784810126582278,0.5016501650165016,0.6755555555555556,0.5757575757575758,0.39040738434076444,0.5566807313642756,0.7684729064039408,0.9285714285714286,0.8409703504043127,47,12,72
