dataset_row_id,title,gold,pred,tp,fp,fn,n_fp,n_fn,n_gold,n_pred
396,ФАС выявила сговор на торгах по поставке жизненно важных лекарств,life_expectancy;real_income_index;hospitals;consumer_price_index;industrial_production_index;enterprises_count;crime_count,consumer_price_index,consumer_price_index,,crime_count;enterprises_count;hospitals;industrial_production_index;life_expectancy;real_income_index,0,6,7,1
946,"Суд запретил экс-предправления московского банка ""Легион"" Сокеркину выезжать из РФ",per_capita_income;real_income_index;industrial_production_index;enterprises_count;crime_count,international_outflow,,international_outflow,crime_count;enterprises_count;industrial_production_index;per_capita_income;real_income_index,1,5,5,1
654,Правительство сохранило статус государственных научных центров за 43 организациями,per_capita_income;real_income_index;hospitals;qualified_doctors;consumer_price_index;industrial_production_index;enterprises_count,qualified_doctors;enterprises_count,enterprises_count;qualified_doctors,,consumer_price_index;hospitals;industrial_production_index;per_capita_income;real_income_index,0,5,7,2
247,В I чтении принят проект об увеличении сроков геологоразведки для двух районов ХМАО,population_size;per_capita_income;real_income_index;consumer_price_index;industrial_production_index;enterprises_count,industrial_production_index,industrial_production_index,,consumer_price_index;enterprises_count;per_capita_income;population_size;real_income_index,0,5,6,1
599,Рубль утром понижается в паре с юанем перед пятничным заседанием ЦБ РФ по ставке,per_capita_income;real_income_index;consumer_price_index;industrial_production_index;enterprises_count;crime_count,consumer_price_index,consumer_price_index,,crime_count;enterprises_count;industrial_production_index;per_capita_income;real_income_index,0,5,6,1
273,КТК сообщил о повреждении выносного причала N2 в результате террористической атаки,life_expectancy;industrial_production_index;enterprises_count;crime_count;mortality_rate,crime_count;air_pollution;wastewater_discharge,crime_count,air_pollution;wastewater_discharge,enterprises_count;industrial_production_index;life_expectancy;mortality_rate,2,4,5,3
9,В посольстве РФ рассказали о планах Британии отказаться от российского урана к 2028 году,per_capita_income;industrial_production_index;enterprises_count;air_pollution,international_inflow;international_outflow,,international_inflow;international_outflow,air_pollution;enterprises_count;industrial_production_index;per_capita_income,2,4,4,2
341,Введение санкций США в отношении сербской энергокомпании NIS отложено на 30 дней,per_capita_income;industrial_production_index;enterprises_count;air_pollution,international_inflow;international_outflow,,international_inflow;international_outflow,air_pollution;enterprises_count;industrial_production_index;per_capita_income,2,4,4,2
892,"Премьер Эстонии заявил, что НАТО увеличит свое присутствие в Балтийском море",life_expectancy;consumer_price_index;industrial_production_index;crime_count,international_inflow;international_outflow,,international_inflow;international_outflow,consumer_price_index;crime_count;industrial_production_index;life_expectancy,2,4,4,2
399,"СКР проводит выемку документов в авиакомпании ""Ангара"" после крушения Ан-24",life_expectancy;unemployment_rate;industrial_production_index;enterprises_count;crime_count;wastewater_discharge;mortality_rate,life_expectancy;hospitals;crime_count;mortality_rate,crime_count;life_expectancy;mortality_rate,hospitals,enterprises_count;industrial_production_index;unemployment_rate;wastewater_discharge,1,4,7,4
466,"Фондовые рынки Европы выросли вслед за акциями оборонных компаний, Stoxx Europe 600 обновил рекорд",real_income_index;consumer_price_index;enterprises_count;crime_count;air_pollution,industrial_production_index;enterprises_count,enterprises_count,industrial_production_index,air_pollution;consumer_price_index;crime_count;real_income_index,1,4,5,2
897,"Подведена дорога к севшему на мель танкеру ""Волгонефть 239"" в Керченском проливе",life_expectancy;consumer_price_index;industrial_production_index;air_pollution;wastewater_discharge,crime_count;wastewater_discharge,wastewater_discharge,crime_count,air_pollution;consumer_price_index;industrial_production_index;life_expectancy,1,4,5,2
