dataset_row_id,title,section,gold_direct,gold_context,gold_weak,pred,missed_direct,missed_context,missed_weak,extra_pred,n_missed,n_extra,full_text
270,"Законопроект о ""периоде охлаждения"" в потребительском кредитовании прошел I чтение",Экономика,,per_capita_income;real_income_index;consumer_price_index;enterprises_count,,consumer_price_index;enterprises_count;per_capita_income,,real_income_index,,,1,0,"Москва. 15 января. INTERFAX.RU - Госдума приняла в первом чтении законопроект, который вводит ""период охлаждения"" для клиентов, которые подписали кредитный договор, до момента получения ими средств: 4 часа для кредитов на сумму от 50 тысяч до 200 тысяч рублей и 48 часов для кредитов свыше 200 тысяч рублей.  Законопроект № 804702-8 в декабре в палату внесла группа депутатов и сенаторов.  Согласно законопроекту, банк и микрофинансовая организация (МФО) обязаны будут передавать заемщику денежные средства по кредиту не ранее чем через 4 часа после подписания условий договора при кредите в диапазоне от 50 тысяч до 200 тысяч рублей. Это же ограничение распространяется и на случаи увеличения суммы уже открытого кредита или лимита кредитования.  В случае кредитов (или увеличения лимита) на сумму более 200 тысяч рублей средства по нему могут быть выданы не ранее чем через 48 часов после того, как"
720,Кремль принял к сведению заявление сенатора Грэма по санкциям против РФ,В России,,industrial_production_index,,consumer_price_index;enterprises_count;international_outflow,,industrial_production_index,,consumer_price_index;enterprises_count;international_outflow,1,3,"Москва. 30 июня. INTERFAX.RU - В Кремле приняли к сведению заявление американского сенатора Линдси Грэма, по словам которого президент США Дональд Трамп считает нужным продвинуть законопроект о новых санкциях против России, заявил пресс-секретарь президента РФ Дмитрий Песков.  ""Мы принимаем его к сведению"", - сказал Песков журналистам на просьбу прокомментировать соответствующее заявление сенатора.  ""Позиции сенатора нам хорошо известны, они хорошо известны всему меру. Он относится к группе таких заядлых русофобов. Была бы его воля, эти санкции были бы введены давно. Помогло бы это урегулированию? Вопрос, которым должны задаваться те, кто инициирует такие события"", - отметил он."
790,Зерноград в Ростовской области остался без воды из-за аварии,В России,,life_expectancy;housing_area_per_capita;wastewater_discharge,,consumer_price_index;housing_area_per_capita;wastewater_discharge,,life_expectancy,,consumer_price_index,1,1,"Москва. 8 августа. INTERFAX.RU - В Ростовской области город Зерноград остался без водоснабжения из-за отсутствия электроэнергии на насосной станции, сообщила в Telegram министр ЖКХ региона Антонина Пшеничная.  ""Из-за аварийного отключения электроэнергии обесточена насосная станция №3. Также на пересечении переулка Западного с улицей Кирова обнаружена утечка на водоводе. На время восстановительных работ водоснабжение города приостановлено"", - написала она.  По ее данным, организован подвоз воды.  По открытым источникам, население города на 2021 год составляло 24 076 человек."
809,ЛЭП и здание предприятия повреждены атаками ВСУ в Белгородской области,В России,crime_count,life_expectancy;housing_area_per_capita;industrial_production_index;enterprises_count,,consumer_price_index;crime_count;housing_area_per_capita;industrial_production_index;mortality_rate,,enterprises_count;life_expectancy,,consumer_price_index;mortality_rate,2,2,"Москва. 29 июня. INTERFAX.RU - Три муниципалитета атаковали ВСУ в Белгородской области, по предварительной информации, пострадавших нет, сообщил в воскресенье губернатор Вячеслав Гладков.  ""В селе Маломихайловка Шебекинского округа FPV-дрон сдетонировал на территории домовладения - посечены осколками навес, забор и два легковых автомобиля. В селе Новая Таволжанка в результате обстрела повреждена линия электропередачи. На нескольких улицах временно отсутствует электроснабжение. Аварийные службы приступят к восстановительным работам после согласования с МО РФ"", - написал он в своем телеграм-канале.  В Грайворонском округе, в селе Козинка, дрон ударил по частному дому - пробита кровля, выбиты окна, посечены забор и припаркованный автомобиль. Кроме того, перебита линия электропередачи.  В поселке Задорожный Краснояружского района в результате прилетов боеприпасов разрушено административное з"
855,В России ожидают осуждения мировыми лидерами удара по селу в Херсонской области,В России,crime_count;mortality_rate,life_expectancy,,crime_count;internal_departures;life_expectancy;mortality_rate,,,,internal_departures,0,1,"Москва. 1 января. INTERFAX.RU - Мировое сообщество должно осудить ночной удар по кафе и гостинице в Херсонской области, в результате которого погибли люди, заявила спикер Совета Федерации Валентина Матвиенко.  ""Ждем отчетливой реакции осуждения от мирового сообщества, от лидеров государств"", - написала Матвиенко в своем телеграм-канале.  По мнению Матвиенко, представители ""киевской верхушки"" ""точно знали, что там мирные отдыхающие, семьи с детьми, и атаковали осознанно"". Она назвала эти действия ""абсолютным нравственным уродством"". И те, кто это совершил не имеют ""никакого морального права представлять власть в нормальном обществе, претендовать на поддержку в народе"", уверена спикер СФ.  ""Тем более у них не должно быть политического будущего"", - заявила Матвиенко.  Ранее пресс-секретарь губернатора Херсонской области Владимир Василенко сообщил, что в результате удара ВСУ по кафе и гостин"
949,В результате ДТП в Египте погибла российская туристка,В мире,mortality_rate,,life_expectancy;hospitals,crime_count;hospitals;international_inflow;life_expectancy;mortality_rate,,,,crime_count;international_inflow,0,2,"Москва. 11 ноября. INTERFAX.RU - В результате столкновения автобуса с грузовиком в Египте пострадали 25 российских туристов, одна женщина погибла, сообщает во вторник Российский союз туриндустрии (РСТ).  ""Группа туристов, включающая граждан России, Литвы и Швеции, стала участниками дорожно-транспортного происшествия на трассе Хургада-Каир. Согласно поступившей информации, автобус с экскурсионной группой попал в аварию, в результате которой пострадало 25 россиян и два иностранных гражданина. Одна гражданка России погибла"", - говорится в сообщении.  Как отмечают в объединении, пострадавшие находятся в государственном госпитале, им оказывается вся необходимая медицинская помощь.  Ранее сообщалось , что авария произошла утром во вторник на оживленной трассе Рас-Гариб-Хургада недалеко от популярного курорта Хургада. Автобус с туристами столкнулся с тяжелым грузовиком, в результате пострадали "
16,Состояние пострадавших при ЧП в Курской области сотрудников РЖД удовлетворительное,В России,,life_expectancy;unemployment_rate;hospitals,industrial_production_index,crime_count;hospitals;life_expectancy,,unemployment_rate,industrial_production_index,crime_count,2,1,"Москва. 1 июня. INTERFAX.RU - Врио губернатора Курской области Александр Хинштейн сообщил о состоянии здоровья пострадавших при обрушении моста сотрудников РЖД.  ""В результате ночного ЧП на ж/д мосту под Железногорском пострадали трое сотрудников поездной бригады. (...) Их жизни ничто не угрожает"", - написал он в своем телеграм-канале в воскресенье.  У 44-летнего помощника машиниста - ушиб грудной клетки, правового плечевого сустава, правового бедра. У второго 40-летнего помощника машиниста диагностирован ушиб грудной клетки, ушиб и повреждение связок правового голеностопного сустава.  У 35-летнего машиниста - открытый перелом нижней трети обеих костей левой голени со смещением, рваная рана левой голени, правого бедра и правой голени, ушиб грудной клетки и правого локтевого сустава.  ""Все они еще ночью были доставлены в Железногорскую больницу. Их осмотрели медики. Состояние удовлетворит"
18,Морской пассажирский транспорт возобновил работу в Севастополе,В России,,industrial_production_index,,industrial_production_index;international_inflow;international_outflow,,,,international_inflow;international_outflow,0,2,"Москва. 23 декабря. INTERFAX.RU - Движение морского пассажирского транспорта в Севастополе возобновилось во вторник днем после приостановки, сообщила дирекция по развитию дорожно-транспортной инфраструктуры города.  ""Морской пассажирский транспорт возобновляет работу"", - говорится в сообщении.  Ограничение действовало более двух часов, причины не назывались."
19,ЕГЭ по истории в ближайшие два года не планируют делать обязательным для поступления в вузы,В России,,,unemployment_rate,enterprises_count;per_capita_income;unemployment_rate,,,,enterprises_count;per_capita_income,0,2,"Москва. 7 июля. INTERFAX.RU - Министр просвещения РФ Сергей Кравцов заявил, что в течение двух ближайших лет история не станет обязательным предметом на ЕГЭ для поступления в гуманитарные вузы.  ""Мы понимаем, что школьники уже готовятся к следующему году сдачи ЕГЭ. Требуется время - по крайней мере, два учебных года, (оставить - ИФ) в том формате, в котором сейчас установлено. И мы сейчас обсуждаем, с какого учебного года решение утвердить, вместе с Минобрнауки"", - сказал министр на пресс-конференции по итогам основного периода ЕГЭ-2025.  По его словам, скорее всего, в течение ближайших двух лет ""останутся предметы обществознание и история, чтобы школьники, которые готовятся к сдаче этих предметов, спокойно могли готовиться"".  Ранее в июне президент РФ Владимир Путин поддержал предложение ректора МГИМО Анатолия Торкунова сделать обязательным ЕГЭ по истории для поступления на гуманитарные"
41,Россия и Китай проведут в начале августа военные учения в Японском море,В России,,,,crime_count;international_inflow;international_outflow,,,,crime_count;international_inflow;international_outflow,0,3,"Москва. 30 июля. INTERFAX.RU - Российско-китайское военно-морское учение ""Морское взаимодействие-2025"" пройдет 1-5 августа в Японском море, сообщил Тихоокеанский флот (ТОФ) в среду.  ""На Тихоокеанском флоте (ТОФ) с 1 по 5 августа 2025 года состоится совместное российско-китайское военно-морское учение ""Морское взаимодействие-2025"". Традиционное учение пройдет в акватории Японского моря с целью обмена опытом военных моряков ВМФ России и ВМС Народно-освободительной армии Китая"", - говорится в сообщении пресс-службы ТОФ.  Российский отряд кораблей возглавит большой противолодочный корабль ""Адмирал Трибуц"", китайский отряд - эсминец ""Шаосин"". Также в учении примут участие дизель-электрические подводные лодки и морская авиация двух стран, заявили в ТОФ.  ""Учение носит оборонительный характер и не направлено против других стран"", - сказали в пресс-службе флота.  ""В море корабли двух стран буду"
