source_file,run_name,run_family,model_guess,file_hash,n_prediction_rows_raw,n_prediction_rows_grouped,n_news_complete,gold_positive_pairs_complete,mtime,size_bytes
prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85,prompt_search,gemma4:e2b,c7e7526ea7fe,36000,36000,1000,915,1779285382.9658997,5453229
manual_dataset_prompt_search_best_balanced_recall_v2.csv,manual_dataset_prompt_search_best_balanced_recall_v2,prompt_search,unknown,190692fa4772,36000,36000,1000,915,1779285382.941395,5197008
manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b.csv,manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b,other,gemma4:e2b,c7e7526ea7fe,36000,36000,1000,915,1779285382.9222765,5453229
prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc,prompt_search,gemma4:e2b,190692fa4772,36000,36000,1000,915,1779282211.6047657,5197008
v4_social_signal_experiment_v4_prompt_think_false_v4full965_gemma4_26b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal_experiment_v4_prompt_think_false_v4full965_gemma4_26b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2,v4_social_signal,gemma4:26b,b76e73e5362e,25416,25416,706,691,1779339732.150461,5613854
v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq3_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.partial.csv,v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq3_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.partial,v4_social_signal,qwen3.6-35b:iq3,58842682e0be,14184,14184,394,369,1779398078.751333,2286018
prompt_search_search_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,prompt_search_search_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85,prompt_search,gemma4:e2b,1966ab98167c,10800,10800,300,307,1779285382.9837725,1637235
thinking_recall_experiment_recall_max_v1_think_true.csv,thinking_recall_experiment_recall_max_v1_think_true,thinking_recall,unknown,84e7d519ea4f,10800,10800,300,307,1779282211.6306498,1546507
thinking_recall_experiment_recall_max_v1_think_false.csv,thinking_recall_experiment_recall_max_v1_think_false,thinking_recall,unknown,514327296305,10800,10800,300,307,1779282211.6272936,1546059
thinking_recall_experiment_latent_candidate_v3_think_true.csv,thinking_recall_experiment_latent_candidate_v3_think_true,thinking_recall,unknown,bb921bff4057,10800,10800,300,307,1779282211.6231768,1717066
thinking_recall_experiment_latent_candidate_v2_think_true.csv,thinking_recall_experiment_latent_candidate_v2_think_true,thinking_recall,unknown,3015cc219ab8,10800,10800,300,307,1779282211.6196902,1506696
prompt_search_search_primary_first_v2_gemma4-e2b_5df03950348d_5f153b0981f2.csv,prompt_search_search_primary_first_v2_gemma4-e2b_5df03950348d_5f153b0981f2,prompt_search,gemma4:e2b,65bd6f8c74ef,10800,10800,300,307,1779282211.617056,1549109
prompt_search_search_hard_negative_v2_gemma4-e2b_5df03950348d_1a35bcd28344.csv,prompt_search_search_hard_negative_v2_gemma4-e2b_5df03950348d_1a35bcd28344,prompt_search,gemma4:e2b,fb490b3a6ce7,10800,10800,300,307,1779282211.613619,1548054
prompt_search_search_few_shot_major_v3_gemma4-e2b_5df03950348d_0c3d39008fbb.csv,prompt_search_search_few_shot_major_v3_gemma4-e2b_5df03950348d_0c3d39008fbb,prompt_search,gemma4:e2b,9d0229df475d,10800,10800,300,307,1779282211.6109965,1565158
prompt_search_search_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,prompt_search_search_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc,prompt_search,gemma4:e2b,75900bdcb16e,10800,10800,300,307,1779282211.608447,1555536
grouped_event_v1_search_think_true.csv,grouped_event_v1_search_think_true,grouped_event,unknown,f9983b73e7df,10800,10800,300,307,1779282211.595569,1856649
v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq3_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2.partial.csv,v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq3_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2.partial,v4_social_signal,qwen3.6-35b:iq3,65fc92f0ecc6,8712,8712,242,228,1779381992.7505047,1384666
v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq3_social_signal_v5_nothink_json_ctx32768_tok16384_b2.partial.csv,v4_social_signal_experiment_v4_prompt_think_false_v4full965_qwen36_35b_iq3_social_signal_v5_nothink_json_ctx32768_tok16384_b2.partial,v4_social_signal,qwen3.6-35b:iq3,554ea15ec5e9,8640,8640,240,227,1779385687.0669813,1342727
v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237.csv,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_direct_core_targeted_v7_nothink_ctx32768_tok16384_b2_n237,v4_social_signal,gemma4:26b,2dd95acd11e6,8532,8532,237,225,1779287587.2243037,1315362
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_gold_mimic_broad_v1_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_gold_mimic_broad_v1_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,183047e552a4,8532,8532,237,225,1779285383.2578194,1385326
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_targeted_v7_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_targeted_v7_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,7843b2a84e26,8532,8532,237,225,1779285383.2535672,1347135
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_recall_v2_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_recall_v2_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,22095752ccad,8532,8532,237,225,1779285383.2498572,1322487
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_fewshot_v5_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,eddf7962ae1b,8532,8532,237,225,1779285383.2481608,1373927
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_calibrated_v4_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_gold_calibrated_v4_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,f6c7bb0790fa,8532,8532,237,225,1779285383.2428958,1351167
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_filtered_v3_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_filtered_v3_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,e6338721a595,8532,8532,237,225,1779285383.2342765,1339977
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_clean_fewshot_v6_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_clean_fewshot_v6_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,056d41029030,8532,8532,237,225,1779285383.2260454,1360278
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_balanced_v8_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_core_balanced_v8_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,30f112043f94,8532,8532,237,225,1779285383.2204082,1348891
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_business_migration_fixed_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_business_migration_fixed_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,56dbdeff5e78,8532,8532,237,225,1779285383.2138653,1310003
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_brief_thinking_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e4b_direct_brief_thinking_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e4b,fb55dcc495b1,8532,8532,237,225,1779285383.1979191,1311292
v4_social_signal_experiment_v4_prompt_think_true_gemma4_e2b_direct_core_recall_v2_think_ctx16384_tok16384_n237.csv,v4_social_signal_experiment_v4_prompt_think_true_gemma4_e2b_direct_core_recall_v2_think_ctx16384_tok16384_n237,v4_social_signal,gemma4:e2b,c8807482784f,8532,8532,237,225,1779285383.1895146,1282099
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_search237.csv,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_search237,v4_social_signal,unknown,4bcda0daa7f2,8532,8532,237,252,1779285383.1754498,1317441
v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_search237.csv,v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_search237,v3_social_signal,unknown,b274cd65cc1c,8532,8532,237,252,1779285383.1467695,1209925
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full.csv,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full,v3_social_signal,qwen3.6-35b:iq3,1e1ab681c168,8532,8532,237,252,1779285383.138199,1264267
v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237.csv,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237,v3_social_signal,qwen35-9b,b70f408920e6,8532,8532,237,252,1779285383.1287997,1304437
v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237.csv,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237,v3_social_signal,gemma4:e4b,04d3ea2f998f,8532,8532,237,252,1779285383.1247928,1288073
v3_social_signal_experiment_social_signal_v4_think_false_v4_b1_search237.csv,v3_social_signal_experiment_social_signal_v4_think_false_v4_b1_search237,v3_social_signal,unknown,cbf1a7eb8e56,8532,8532,237,252,1779285383.120248,1216704
v3_social_signal_experiment_social_signal_v3_think_true_v3_b1_search237_think.csv,v3_social_signal_experiment_social_signal_v3_think_true_v3_b1_search237_think,v3_social_signal,unknown,10088fd15039,8532,8532,237,252,1779285383.1145763,1211305
v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_search237.csv,v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_search237,v3_social_signal,unknown,3c670b98b753,8532,8532,237,252,1779285383.1104035,1206263
v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237.csv,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237,v4_social_signal,gemma4:26b,c1902992d91d,8532,8532,237,252,1779285088.970217,1764215
v4_social_signal_experiment_v4_prompt_think_false_v4full965_gemma4_26b_high_recall_minimal_v2_nothink_json_ctx32768_tok16384_b2.partial.csv,v4_social_signal_experiment_v4_prompt_think_false_v4full965_gemma4_26b_high_recall_minimal_v2_nothink_json_ctx32768_tok16384_b2.partial,v4_social_signal,gemma4:26b,0a2e5abeca01,2808,2808,78,60,1779314339.9930182,431805
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal,qwen35-9b,cbe12b087c57,1476,1476,41,37,1779326997.6349454,352488
v4_social_signal_experiment_v4_prompt_think_true_v4pilot60_gemma4_26b_high_recall_minimal_v3_think_nojson_guard2_ctx32768_tok8192_b1.csv,v4_social_signal_experiment_v4_prompt_think_true_v4pilot60_gemma4_26b_high_recall_minimal_v3_think_nojson_guard2_ctx32768_tok8192_b1,v4_social_signal,gemma4:26b,a459ae22b30f,1476,1476,41,37,1779325826.772565,339063
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_high_recall_minimal_v3_nothink_json_ctx32768_tok16384_b2,v4_social_signal,gemma4:26b,698b84695b21,1476,1476,41,37,1779322969.9240997,341433
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_qwen35_9b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2,v4_social_signal,qwen35-9b,e9d7fb0bdbab,1476,1476,41,37,1779321371.8897438,356380
v4_social_signal_experiment_v4_prompt_think_true_v4pilot60_gemma4_26b_social_signal_v9_f1_balanced_think_nojson_guard2_ctx32768_tok8192_b1.csv,v4_social_signal_experiment_v4_prompt_think_true_v4pilot60_gemma4_26b_social_signal_v9_f1_balanced_think_nojson_guard2_ctx32768_tok8192_b1,v4_social_signal,gemma4:26b,78d98a686ffa,1476,1476,41,37,1779319989.7064753,374944
v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2.csv,v4_social_signal_experiment_v4_prompt_think_false_v4pilot60_gemma4_26b_social_signal_v9_f1_balanced_nothink_json_ctx32768_tok16384_b2,v4_social_signal,gemma4:26b,f98b306b8d11,1476,1476,41,37,1779315224.1118503,340043
v4_social_signal_experiment_v4_prompt_think_true_oldgold_gemma4_26b_high_recall_minimal_v2_think_nojson_guard2_ctx32768_tok8192_b1_pilot30.csv,v4_social_signal_experiment_v4_prompt_think_true_oldgold_gemma4_26b_high_recall_minimal_v2_think_nojson_guard2_ctx32768_tok8192_b1_pilot30,v4_social_signal,gemma4:26b,a896f3b0d57b,1080,1080,30,22,1779313713.5606039,167943
v4_social_signal_experiment_v4_prompt_think_true_oldgold_gemma4_26b_high_recall_minimal_v1_think_nojson_guard2_ctx32768_tok8192_b1_pilot30.csv,v4_social_signal_experiment_v4_prompt_think_true_oldgold_gemma4_26b_high_recall_minimal_v1_think_nojson_guard2_ctx32768_tok8192_b1_pilot30,v4_social_signal,gemma4:26b,8e2c7270d4ca,1080,1080,30,22,1779312509.3203497,175984
v4_social_signal_experiment_v4_prompt_think_true_oldgold_gemma4_26b_direct_core_targeted_v7_think_nojson_guard2_ctx32768_tok8192_b1_pilot30.csv,v4_social_signal_experiment_v4_prompt_think_true_oldgold_gemma4_26b_direct_core_targeted_v7_think_nojson_guard2_ctx32768_tok8192_b1_pilot30,v4_social_signal,gemma4:26b,a72b2da2ccaf,1080,1080,30,22,1779299193.0635307,168524
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30.csv,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30,v3_social_signal,qwen3.6-35b:iq3,b8b627b7f630,1080,1080,30,22,1779285383.1406353,158391
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal,qwen3.6-35b:iq3,1c1120950e4a,1080,1080,30,22,1779285383.1325707,157957
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_search237.partial.csv,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_search237.partial,v4_social_signal,unknown,235a3367ad2e,756,756,21,13,1779285383.1744409,115631
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_text6k_pilot18.csv,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_text6k_pilot18,v4_social_signal,unknown,1a1e7d7835ae,648,648,18,12,1779285383.1745994,99172
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_pilot18.csv,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_pilot18,v4_social_signal,unknown,81ecc52c462c,648,648,18,12,1779285383.1719186,99442
v4_social_signal_experiment_v4_prompt_think_false_b1_pilot18.csv,v4_social_signal_experiment_v4_prompt_think_false_b1_pilot18,v4_social_signal,unknown,dc871c8c6a42,648,648,18,12,1779285383.169799,100551
v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_pilot18.csv,v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_pilot18,v3_social_signal,unknown,d75c92993d2d,648,648,18,12,1779285383.1432688,91256
v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_pilot18.csv,v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_pilot18,v3_social_signal,unknown,56612fec7d13,648,648,18,12,1779285383.1010375,91674
v3_social_signal_experiment_social_signal_v2_think_false_b1_pilot18.csv,v3_social_signal_experiment_social_signal_v2_think_false_b1_pilot18,v3_social_signal,unknown,663ea5d483d7,648,648,18,12,1779285383.100113,95166
