run_id,file_name,family,model,prompt,is_partial,n_news,n_rows,complete_36x_rows,json_errors,ensemble_op,ensemble_left,ensemble_right,threshold,threshold_value,scope,gold_pairs,pred_pairs,tp_pairs,fp_pairs_vs_scope,fn_pairs,mean_pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,gold_news,pred_any_news,news_with_true_hit,true_hit_news_coverage,false_relevant_news,missed_all_scope_news
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.55__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.55,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,621,393,228,263,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.55__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.55,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,621,393,228,263,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.60__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.60,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,621,393,228,263,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.60__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.60,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,621,393,228,263,2.6202531645569622,0.6328502415458938,0.5990853658536586,0.615505090054816,0.421995242464901,0.5536333802156587,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.35__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,625,394,231,262,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.35__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.35,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,625,394,231,262,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.40__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.40,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,625,394,231,262,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.40__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.40,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,625,394,231,262,2.6371308016877637,0.6304,0.600609756097561,0.615144418423107,0.42109510858052657,0.5532561905979628,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.45__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.45,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.55,ensemble,,all,656,622,393,229,263,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
ensemble_OR__v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237_0.45__v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237@0.45,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237@0.60,ensemble,,all,656,622,393,229,263,2.6244725738396624,0.6318327974276527,0.5990853658536586,0.6150234741784038,0.42176558706283174,0.5533989685888421,0.9684684684684685,0.947136563876652,0.9576837416481069,227,222,188,0.8281938325991189,7,12
