dataset_row_id,title,url,true_factors,pred_factors,tp_factors,fp_factors,fn_factors,true_count,pred_count,sample_f1,sample_jaccard,needs_review
21,В Херсонской области в результате обстрела ранены водитель и врач скорой помощи,https://www.interfax.ru/russia/1047733,crime_count;hospitals;qualified_doctors,,,,crime_count;hospitals;qualified_doctors,3,0,0.0,0.0,True
7,Женщина погибла в результате атаки беспилотников ВСУ на населенный пункт Вахрушево в ЛНР,https://www.interfax.ru/russia/1033570,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
16,Состояние пострадавших при ЧП в Курской области сотрудников РЖД удовлетворительное,https://www.interfax.ru/russia/1028966,life_expectancy;mortality_rate,hospitals,,hospitals,life_expectancy;mortality_rate,2,1,0.0,0.0,True
39,"В Турции заявили, что танкер Virat подвергся повторной атаке в Черном море",https://www.interfax.ru/world/1060587,air_pollution;crime_count,international_outflow,,international_outflow,air_pollution;crime_count,2,1,0.0,0.0,True
53,"Что произошло за день: понедельник, 1 декабря",https://www.interfax.ru/russia/1060876,international_inflow;life_expectancy,crime_count,,crime_count,international_inflow;life_expectancy,2,1,0.0,0.0,True
121,Проект о передаче под контроль ЦБ регулирования сервисов покупок в рассрочку принят в I чтении,https://www.interfax.ru/russia/1016396,per_capita_income;real_income_index,consumer_price_index,,consumer_price_index,per_capita_income;real_income_index,2,1,0.0,0.0,True
129,"Что произошло за день: вторник, 13 мая",https://www.interfax.ru/world/1025425,air_pollution;crime_count,international_inflow,,international_inflow,air_pollution;crime_count,2,1,0.0,0.0,True
140,"Что произошло за день: четверг, 3 апреля",https://www.interfax.ru/russia/1018179,consumer_price_index;mortality_rate,crime_count;industrial_production_index,,crime_count;industrial_production_index,consumer_price_index;mortality_rate,2,2,0.0,0.0,True
145,Госдума утвердила отчет об исполнении бюджетов ФОМС и Социального фонда за 2024 год,https://www.interfax.ru/russia/1035392,children_benefits;hospitals,,,,children_benefits;hospitals,2,0,0.0,0.0,True
159,"""АвтоВАЗ"" возобновил производство после корпоративного отпуска и майских праздников",https://www.interfax.ru/business/1025077,industrial_production_index;unemployment_rate,enterprises_count,,enterprises_count,industrial_production_index;unemployment_rate,2,1,0.0,0.0,True
166,"Bloomberg сообщил, что ЕС может ограничить экспорт в США",https://www.interfax.ru/world/1021481,enterprises_count;industrial_production_index,international_inflow,,international_inflow,enterprises_count;industrial_production_index,2,1,0.0,0.0,True
173,"Роснедра заявили, что РФ выполняет обязательства по работе на дне Мирового океана",https://www.interfax.ru/forumspb/1031761,air_pollution;industrial_production_index,,,,air_pollution;industrial_production_index,2,0,0.0,0.0,True
180,Нидерланды намерены продлить срок службы АЭС после 2033 года,https://www.interfax.ru/world/1053337,air_pollution;industrial_production_index,,,,air_pollution;industrial_production_index,2,0,0.0,0.0,True
195,"В МИД РФ заявили о рисках для АЭС ""Бушер"" на фоне конфликта Ирана и Израиля",https://www.interfax.ru/world/1031453,air_pollution;crime_count,international_inflow,,international_inflow,air_pollution;crime_count,2,1,0.0,0.0,True
199,Потери бюджета из-за нелегального табака оценены в 150 млрд рублей в год,https://www.interfax.ru/business/1029239,crime_count;per_capita_income,consumer_price_index,,consumer_price_index,crime_count;per_capita_income,2,1,0.0,0.0,True
200,Тяжело раненная в среду при обстреле Лисичанска девочка скончалась в больнице,https://www.interfax.ru/russia/1022870,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
202,Военные нанесли удары по украинским аэродромам и сбили более 70 дронов ВСУ,https://www.interfax.ru/russia/1017321,crime_count;mortality_rate,industrial_production_index,,industrial_production_index,crime_count;mortality_rate,2,1,0.0,0.0,True
211,Число жертв ударов США и Израиля по Ирану выросло до 787 человек,https://www.interfax.ru/world/1075821,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
238,В Курской области в результате удара по энергообъекту есть погибший и раненые,https://www.interfax.ru/russia/1075014,crime_count;mortality_rate,industrial_production_index,,industrial_production_index,crime_count;mortality_rate,2,1,0.0,0.0,True
250,Гросси готов взаимодействовать с Израилем и Ираном для обеспечения безопасности ядерных объектов,https://www.interfax.ru/world/1031125,air_pollution;crime_count,,,,air_pollution;crime_count,2,0,0.0,0.0,True
252,Пять человек спасены при пожаре в Москве,https://www.interfax.ru/world/1004042,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
265,Хакеры могут спровоцировать в японской рознице дефицит самого популярного пива,https://www.interfax.ru/business/1050742,consumer_price_index;enterprises_count,industrial_production_index,,industrial_production_index,consumer_price_index;enterprises_count,2,1,0.0,0.0,True
270,"Законопроект о ""периоде охлаждения"" в потребительском кредитовании прошел I чтение",https://www.interfax.ru/business/1003012,per_capita_income;real_income_index,consumer_price_index,,consumer_price_index,per_capita_income;real_income_index,2,1,0.0,0.0,True
278,Себестоимость строительства многоквартирных домов вырастет в 2025 году более чем на 6%,https://www.interfax.ru/business/1042173,housing_area_per_capita;primary_housing_price_index,consumer_price_index,,consumer_price_index,housing_area_per_capita;primary_housing_price_index,2,1,0.0,0.0,True
281,Путин отметил снижение кредитного портфеля банков в первом квартале,https://www.interfax.ru/russia/1022547,enterprises_count;per_capita_income,industrial_production_index,,industrial_production_index,enterprises_count;per_capita_income,2,1,0.0,0.0,True
299,Обнаружены пропавшие в горах на севере Пермского края туристы,https://www.interfax.ru/russia/1063394,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
317,Владельцы пострадавших от атаки БПЛА домов в Анапе получат помощь властей,https://www.interfax.ru/russia/1023899,housing_area_per_capita;per_capita_income,crime_count,,crime_count,housing_area_per_capita;per_capita_income,2,1,0.0,0.0,True
321,"Более 18,7 трлн рублей направят в 2026 г. на обеспечение мер поддержки и выплату пенсий",https://www.interfax.ru/russia/1049802,children_benefits;per_capita_income,consumer_price_index,,consumer_price_index,children_benefits;per_capita_income,2,1,0.0,0.0,True
361,"РФ может направить часть замороженных активов на восстановление территорий, пострадавших в ходе СВО",https://www.interfax.ru/russia/1068869,housing_area_per_capita;per_capita_income,industrial_production_index,,industrial_production_index,housing_area_per_capita;per_capita_income,2,1,0.0,0.0,True
399,"СКР проводит выемку документов в авиакомпании ""Ангара"" после крушения Ан-24",https://www.interfax.ru/russia/1037881,crime_count;mortality_rate,industrial_production_index,,industrial_production_index,crime_count;mortality_rate,2,1,0.0,0.0,True
418,В США ставки по ипотеке находятся на минимуме за год,https://www.interfax.ru/business/1051929,housing_area_per_capita;primary_housing_price_index,consumer_price_index,,consumer_price_index,housing_area_per_capita;primary_housing_price_index,2,1,0.0,0.0,True
420,В Израиле 16 человек пострадали в результате ракетного удара Ирана,https://www.interfax.ru/world/1032570,crime_count;life_expectancy,,,,crime_count;life_expectancy,2,0,0.0,0.0,True
424,Белый дом хочет задействовать 200 агентов Иммиграционной и таможенной полиции против нелегалов в Чикаго,https://www.interfax.ru/world/1044643,international_inflow;international_outflow,crime_count,,crime_count,international_inflow;international_outflow,2,1,0.0,0.0,True
453,Три человека погибли и один пострадал при пожаре на базе отдыха в Хакасии,https://www.interfax.ru/russia/1070487,life_expectancy;mortality_rate,crime_count,,crime_count,life_expectancy;mortality_rate,2,1,0.0,0.0,True
461,В Брянской области в результате атаки БПЛА сгорели жилой дом и семь машин,https://www.interfax.ru/russia/1023068,crime_count;housing_area_per_capita,air_pollution,,air_pollution,crime_count;housing_area_per_capita,2,1,0.0,0.0,True
517,Президент заявил о сложной ситуации в жилищном строительстве в РФ,https://www.interfax.ru/russia/1022542,housing_area_per_capita;primary_housing_price_index,industrial_production_index,,industrial_production_index,housing_area_per_capita;primary_housing_price_index,2,1,0.0,0.0,True
528,Нефтепродукты загорелись в Воронежской области после атаки беспилотников,https://www.interfax.ru/russia/1069813,air_pollution;crime_count,industrial_production_index,,industrial_production_index,air_pollution;crime_count,2,1,0.0,0.0,True
573,Глава Роспотребнадзора рассказала про зарубежный интерес к противоэпидемическим разработкам РФ,https://www.interfax.ru/russia/1032824,life_expectancy;qualified_doctors,international_inflow,,international_inflow,life_expectancy;qualified_doctors,2,1,0.0,0.0,True
578,Четырех человек спасли во время пожара в многоквартирном доме во Владивостоке,https://www.interfax.ru/russia/1070939,life_expectancy;mortality_rate,,,,life_expectancy;mortality_rate,2,0,0.0,0.0,True
636,G7 планирует объявить о готовности к работе над усилением санкционного давления на РФ,https://www.interfax.ru/world/1050286,enterprises_count;industrial_production_index,,,,enterprises_count;industrial_production_index,2,0,0.0,0.0,True
666,Пять домов повреждены в Краснодарском крае после падения обломков сбитых дронов,https://www.interfax.ru/russia/1006960,crime_count;housing_area_per_capita,,,,crime_count;housing_area_per_capita,2,0,0.0,0.0,True
720,Кремль принял к сведению заявление сенатора Грэма по санкциям против РФ,https://www.interfax.ru/russia/1033684,enterprises_count;industrial_production_index,,,,enterprises_count;industrial_production_index,2,0,0.0,0.0,True
732,Нежилая многоэтажка и частный дом повреждены в Липецкой области после атаки БПЛА,https://www.interfax.ru/russia/1034874,crime_count;housing_area_per_capita,air_pollution,,air_pollution,crime_count;housing_area_per_capita,2,1,0.0,0.0,True
790,Зерноград в Ростовской области остался без воды из-за аварии,https://www.interfax.ru/russia/1040277,housing_area_per_capita;wastewater_discharge,,,,housing_area_per_capita;wastewater_discharge,2,0,0.0,0.0,True
799,Окна жилых домов повреждены обломками БПЛА в Курске,https://www.interfax.ru/russia/1070441,crime_count;housing_area_per_capita,,,,crime_count;housing_area_per_capita,2,0,0.0,0.0,True
805,КС РФ допустил взыскание компенсации морального вреда с наследников обвиняемого,https://www.interfax.ru/russia/1028518,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
809,ЛЭП и здание предприятия повреждены атаками ВСУ в Белгородской области,https://www.interfax.ru/russia/1033604,housing_area_per_capita;industrial_production_index,,,,housing_area_per_capita;industrial_production_index,2,0,0.0,0.0,True
841,"ФАС возбудила дело о картеле на 4,6 млрд рублей при закупках средств очистки воды",https://www.interfax.ru/russia/1041814,crime_count;wastewater_discharge,air_pollution,,air_pollution,crime_count;wastewater_discharge,2,1,0.0,0.0,True
855,В России ожидают осуждения мировыми лидерами удара по селу в Херсонской области,https://www.interfax.ru/russia/1066030,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
868,"Режим ЧС введен на месте пожара в Каменске-Шахтинском, где сгорели дома",https://www.interfax.ru/russia/1047870,housing_area_per_capita;life_expectancy,crime_count,,crime_count,housing_area_per_capita;life_expectancy,2,1,0.0,0.0,True
876,Бренд Loro Piana помещен под судебный контроль из-за обвинений в трудовых нарушениях,https://www.interfax.ru/world/1036133,crime_count;unemployment_rate,enterprises_count,,enterprises_count,crime_count;unemployment_rate,2,1,0.0,0.0,True
892,"Премьер Эстонии заявил, что НАТО увеличит свое присутствие в Балтийском море",https://www.interfax.ru/world/1001546,crime_count;industrial_production_index,international_inflow,,international_inflow,crime_count;industrial_production_index,2,1,0.0,0.0,True
897,"Подведена дорога к севшему на мель танкеру ""Волгонефть 239"" в Керченском проливе",https://www.interfax.ru/russia/1002816,air_pollution;wastewater_discharge,industrial_production_index,,industrial_production_index,air_pollution;wastewater_discharge,2,1,0.0,0.0,True
918,"Рынок БАДов в России за пять лет вырос в 2,5 раза",https://www.interfax.ru/russia/1028025,enterprises_count;life_expectancy,consumer_price_index,,consumer_price_index,enterprises_count;life_expectancy,2,1,0.0,0.0,True
942,Этот январь в Москве станет самым теплым за всю историю метеонаблюдений,https://www.interfax.ru/world/1004948,air_pollution;life_expectancy,,,,air_pollution;life_expectancy,2,0,0.0,0.0,True
949,В результате ДТП в Египте погибла российская туристка,https://www.interfax.ru/world/1057319,life_expectancy;mortality_rate,,,,life_expectancy;mortality_rate,2,0,0.0,0.0,True
