run_id,file_name,family,model,prompt,is_partial,n_news,n_rows,complete_36x_rows,json_errors,path,gold_pairs_all,mean_gold_labels,raw_positive_rows_default,load_error
grouped_event_v1_search_think_true,grouped_event_v1_search_think_true.csv,grouped_event,gemma4:e2b,grouped_event_v1,False,237,8532,True,18.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\grouped_event_v1_search_think_true.csv,656,2.7679324894514767,119,
manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b,manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b.csv,manual_llm,gemma4:e2b,unknown,False,739,26604,True,1.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\manual_dataset_llm_predictions_gemma4-e2b_social-risk-classification-v1_5df03950348d_033f6fd8763b.csv,2010,2.719891745602165,238,
manual_dataset_bert_predictions_full_text_5df03950348d,manual_dataset_bert_predictions_full_text_5df03950348d.csv,other,rubert-nli-zero-shot,unknown,False,739,26604,True,,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\manual_dataset_bert_predictions_full_text_5df03950348d.csv,2010,2.719891745602165,11934,
manual_dataset_prompt_search_best_balanced_recall_v2,manual_dataset_prompt_search_best_balanced_recall_v2.csv,prompt_search,gemma4:e2b,balanced_recall_v2,False,739,26604,True,,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\manual_dataset_prompt_search_best_balanced_recall_v2.csv,2010,2.719891745602165,376,
prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc,prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,prompt_search,gemma4:e2b,balanced_recall_v2,False,739,26604,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_full_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,2010,2.719891745602165,376,
prompt_search_search_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc,prompt_search_search_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,prompt_search,gemma4:e2b,balanced_recall_v2,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_search_balanced_recall_v2_gemma4-e2b_5df03950348d_e98b1a3c5abc.csv,656,2.7679324894514767,132,
prompt_search_search_few_shot_major_v3_gemma4-e2b_5df03950348d_0c3d39008fbb,prompt_search_search_few_shot_major_v3_gemma4-e2b_5df03950348d_0c3d39008fbb.csv,prompt_search,gemma4:e2b,few_shot_major_v3,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_search_few_shot_major_v3_gemma4-e2b_5df03950348d_0c3d39008fbb.csv,656,2.7679324894514767,106,
prompt_search_search_hard_negative_v2_gemma4-e2b_5df03950348d_1a35bcd28344,prompt_search_search_hard_negative_v2_gemma4-e2b_5df03950348d_1a35bcd28344.csv,prompt_search,gemma4:e2b,hard_negative_v2,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_search_hard_negative_v2_gemma4-e2b_5df03950348d_1a35bcd28344.csv,656,2.7679324894514767,37,
prompt_search_search_primary_first_v2_gemma4-e2b_5df03950348d_5f153b0981f2,prompt_search_search_primary_first_v2_gemma4-e2b_5df03950348d_5f153b0981f2.csv,prompt_search,gemma4:e2b,primary_first_v2,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_search_primary_first_v2_gemma4-e2b_5df03950348d_5f153b0981f2.csv,656,2.7679324894514767,104,
prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85,prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,prompt_search,gemma4:e2b,production_v1,False,739,26604,True,,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_full_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,2010,2.719891745602165,238,
prompt_search_search_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85,prompt_search_search_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,prompt_search,gemma4:e2b,production_v1,False,237,8532,True,,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\prompt_search_search_production_v1_gemma4-e2b_5df03950348d_b6a2d2f27b85.csv,656,2.7679324894514767,78,
thinking_recall_experiment_latent_candidate_v2_think_true,thinking_recall_experiment_latent_candidate_v2_think_true.csv,thinking_recall,gemma4:e2b,latent_candidate_v2,False,237,8532,True,3.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\thinking_recall_experiment_latent_candidate_v2_think_true.csv,656,2.7679324894514767,14,
thinking_recall_experiment_latent_candidate_v3_think_true,thinking_recall_experiment_latent_candidate_v3_think_true.csv,thinking_recall,gemma4:e2b,latent_candidate_v3,False,237,8532,True,30.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\thinking_recall_experiment_latent_candidate_v3_think_true.csv,656,2.7679324894514767,305,
thinking_recall_experiment_recall_max_v1_think_false,thinking_recall_experiment_recall_max_v1_think_false.csv,thinking_recall,gemma4:e2b,recall_max_v1,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\thinking_recall_experiment_recall_max_v1_think_false.csv,656,2.7679324894514767,118,
thinking_recall_experiment_recall_max_v1_think_true,thinking_recall_experiment_recall_max_v1_think_true.csv,thinking_recall,gemma4:e2b,recall_max_v1,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\thinking_recall_experiment_recall_max_v1_think_true.csv,656,2.7679324894514767,124,
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,v3_social_signal,batiai/qwen3.6-35b:iq3,social_signal_v5,False,30,1080,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_pilot30.csv,64,2.1333333333333333,84,
v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30.csv,v3_social_signal,batiai/qwen3.6-35b:iq3,social_signal_v5,False,30,1080,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_v5_b1_pilot30.csv,64,2.1333333333333333,83,
v3_social_signal_experiment_social_signal_v1_think_false,v3_social_signal_experiment_social_signal_v1_think_false.csv,v3_social_signal,gemma4:e2b,social_signal_v1,False,18,648,True,10.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v1_think_false.csv,38,2.111111111111111,13,
v3_social_signal_experiment_social_signal_v1_think_false_b1_pilot18,v3_social_signal_experiment_social_signal_v1_think_false_b1_pilot18.csv,v3_social_signal,gemma4:e2b,social_signal_v1,False,18,648,True,7.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v1_think_false_b1_pilot18.csv,38,2.111111111111111,13,
v3_social_signal_experiment_social_signal_v2_think_false,v3_social_signal_experiment_social_signal_v2_think_false.csv,v3_social_signal,gemma4:e2b,social_signal_v2,False,18,648,True,14.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v2_think_false.csv,38,2.111111111111111,9,
v3_social_signal_experiment_social_signal_v2_think_false_b1_pilot18,v3_social_signal_experiment_social_signal_v2_think_false_b1_pilot18.csv,v3_social_signal,gemma4:e2b,social_signal_v2,False,18,648,True,11.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v2_think_false_b1_pilot18.csv,38,2.111111111111111,9,
v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_search237,v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_search237.csv,v3_social_signal,gemma4:e2b,social_signal_v3,False,237,8532,True,8.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_search237.csv,656,2.7679324894514767,263,
v3_social_signal_experiment_social_signal_v3_think_true_v3_b1_search237_think,v3_social_signal_experiment_social_signal_v3_think_true_v3_b1_search237_think.csv,v3_social_signal,gemma4:e2b,social_signal_v3,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v3_think_true_v3_b1_search237_think.csv,656,2.7679324894514767,278,
v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_pilot18,v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_pilot18.csv,v3_social_signal,gemma4:e2b,social_signal_v3,False,18,648,True,2.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v3_think_false_v3_b1_pilot18.csv,38,2.111111111111111,18,
v3_social_signal_experiment_social_signal_v4_think_false_v4_b1_search237,v3_social_signal_experiment_social_signal_v4_think_false_v4_b1_search237.csv,v3_social_signal,gemma4:e2b,social_signal_v4,False,237,8532,True,16.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v4_think_false_v4_b1_search237.csv,656,2.7679324894514767,252,
v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_search237,v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_search237.csv,v3_social_signal,gemma4:e2b,social_signal_v5,False,237,8532,True,4.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_search237.csv,656,2.7679324894514767,260,
v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_pilot18,v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_pilot18.csv,v3_social_signal,gemma4:e2b,social_signal_v5,False,18,648,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v5_think_false_v5_b1_pilot18.csv,38,2.111111111111111,18,
v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237,v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237.csv,v3_social_signal,gemma4:e4b,social_signal_v5,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v5_think_false_gemma4_e4b_v5_b1_search237.csv,656,2.7679324894514767,693,
v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237,v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237.csv,v3_social_signal,qwen3.5:9b,social_signal_v5,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v3_social_signal_experiment_social_signal_v5_think_false_qwen35_9b_v5_b1_search237.csv,656,2.7679324894514767,799,
v4_social_signal_experiment_v4_prompt_think_false_qwen36_35b_iq3_compact_b1_pilot30.partial,v4_social_signal_experiment_v4_prompt_think_false_qwen36_35b_iq3_compact_b1_pilot30.partial.csv,v4_social_signal,batiai/qwen3.6-35b:iq3,v4_prompt,True,4,144,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v4_social_signal_experiment_v4_prompt_think_false_qwen36_35b_iq3_compact_b1_pilot30.partial.csv,12,3.0,7,
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_search237,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_search237.csv,v4_social_signal,gemma4:e2b,v4_prompt,False,237,8532,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v4_social_signal_experiment_v4_prompt_think_false_compact_b1_search237.csv,656,2.7679324894514767,317,
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_search237.partial,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_search237.partial.csv,v4_social_signal,gemma4:e2b,v4_prompt,True,21,756,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_search237.partial.csv,43,2.0476190476190474,26,
v4_social_signal_experiment_v4_prompt_think_false_b1_pilot18,v4_social_signal_experiment_v4_prompt_think_false_b1_pilot18.csv,v4_social_signal,gemma4:e2b,v4_prompt,False,18,648,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v4_social_signal_experiment_v4_prompt_think_false_b1_pilot18.csv,38,2.111111111111111,28,
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_pilot18,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_pilot18.csv,v4_social_signal,gemma4:e2b,v4_prompt,False,18,648,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_pilot18.csv,38,2.111111111111111,23,
v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_text6k_pilot18,v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_text6k_pilot18.csv,v4_social_signal,gemma4:e2b,v4_prompt,False,18,648,True,0.0,C:\Users\whynot\VSCodeProjects\news-zero-shot\analysis_outputs\v4_social_signal_experiment_v4_prompt_think_false_compact_b1_ctx16k_text6k_pilot18.csv,38,2.111111111111111,22,
