dataset_row_id,title,true_factors,pred_factors,tp_factors,fp_factors,fn_factors,true_count,pred_count,sample_f1,sample_jaccard,needs_review
21,В Херсонской области в результате обстрела ранены водитель и врач скорой помощи,crime_count;hospitals;qualified_doctors,,,,crime_count;hospitals;qualified_doctors,3,0,0.0,0.0,True
7,Женщина погибла в результате атаки беспилотников ВСУ на населенный пункт Вахрушево в ЛНР,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
16,Состояние пострадавших при ЧП в Курской области сотрудников РЖД удовлетворительное,life_expectancy;mortality_rate,hospitals,,hospitals,life_expectancy;mortality_rate,2,1,0.0,0.0,True
39,"В Турции заявили, что танкер Virat подвергся повторной атаке в Черном море",air_pollution;crime_count,international_outflow,,international_outflow,air_pollution;crime_count,2,1,0.0,0.0,True
53,"Что произошло за день: понедельник, 1 декабря",international_inflow;life_expectancy,crime_count,,crime_count,international_inflow;life_expectancy,2,1,0.0,0.0,True
121,Проект о передаче под контроль ЦБ регулирования сервисов покупок в рассрочку принят в I чтении,per_capita_income;real_income_index,consumer_price_index,,consumer_price_index,per_capita_income;real_income_index,2,1,0.0,0.0,True
129,"Что произошло за день: вторник, 13 мая",air_pollution;crime_count,international_inflow,,international_inflow,air_pollution;crime_count,2,1,0.0,0.0,True
140,"Что произошло за день: четверг, 3 апреля",consumer_price_index;mortality_rate,crime_count;industrial_production_index,,crime_count;industrial_production_index,consumer_price_index;mortality_rate,2,2,0.0,0.0,True
145,Госдума утвердила отчет об исполнении бюджетов ФОМС и Социального фонда за 2024 год,children_benefits;hospitals,,,,children_benefits;hospitals,2,0,0.0,0.0,True
159,"""АвтоВАЗ"" возобновил производство после корпоративного отпуска и майских праздников",industrial_production_index;unemployment_rate,enterprises_count,,enterprises_count,industrial_production_index;unemployment_rate,2,1,0.0,0.0,True
166,"Bloomberg сообщил, что ЕС может ограничить экспорт в США",enterprises_count;industrial_production_index,international_inflow,,international_inflow,enterprises_count;industrial_production_index,2,1,0.0,0.0,True
173,"Роснедра заявили, что РФ выполняет обязательства по работе на дне Мирового океана",air_pollution;industrial_production_index,,,,air_pollution;industrial_production_index,2,0,0.0,0.0,True
180,Нидерланды намерены продлить срок службы АЭС после 2033 года,air_pollution;industrial_production_index,,,,air_pollution;industrial_production_index,2,0,0.0,0.0,True
195,"В МИД РФ заявили о рисках для АЭС ""Бушер"" на фоне конфликта Ирана и Израиля",air_pollution;crime_count,international_inflow,,international_inflow,air_pollution;crime_count,2,1,0.0,0.0,True
199,Потери бюджета из-за нелегального табака оценены в 150 млрд рублей в год,crime_count;per_capita_income,consumer_price_index,,consumer_price_index,crime_count;per_capita_income,2,1,0.0,0.0,True
200,Тяжело раненная в среду при обстреле Лисичанска девочка скончалась в больнице,crime_count;mortality_rate,,,,crime_count;mortality_rate,2,0,0.0,0.0,True
