run_id,file_name,family,model,prompt,is_partial,n_news,n_rows,complete_36x_rows,json_errors,ensemble_op,ensemble_left,ensemble_right,threshold,threshold_value,scope,gold_pairs,pred_pairs,tp_pairs,fp_pairs_vs_scope,fn_pairs,mean_pred_labels,micro_precision,micro_recall,micro_f1,macro_f1_supported,sample_f1_empty_correct,any_precision,any_recall,any_f1,gold_news,pred_any_news,news_with_true_hit,true_hit_news_coverage,false_relevant_news,missed_all_scope_news,ranking
ensemble_OR__ocial_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_default__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@default,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__ocial_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_default__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@default,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__ocial_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_default__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@default,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__ocial_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_default__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@default,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.05__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.05,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.05__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.05,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.05__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.55,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.05,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.55,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.05__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.60,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.05,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.60,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.10__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.45,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.10,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.45,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
ensemble_OR__4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237_0.10__al_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full_0.50,,pairwise_ensemble,mixed,mixed,False,237,,True,,OR,v4_social_signal_experiment_v4_prompt_think_false_gemma4_26b_ctx32k_tok8k_b1_search237@0.10,v3_social_signal_experiment_social_signal_v5_think_false_qwen36_35b_iq3_ctx16k_v5_b1_search237_full@0.50,ensemble,,all,656,451,353,98,303,1.9029535864978904,0.7827050997782705,0.538109756097561,0.6377597109304426,0.4738186131978455,0.6064435798613014,0.9904306220095693,0.9118942731277533,0.9495412844036697,227,209,192,0.8458149779735683,2,20,all_ensemble_micro_f1
